sys_util,req_perc,period,processors,task_util,RTA_DELTA,RTA_NORM
2.0,1.0,uni-moderate,4,uni-light,0.0,0.0
1.25,0.1,uni-short,2,uni-heavy,0.0,0.0
0.75,1.0,log-uni-long,4,exp-medium,0.5935828877005347,0.5935828877005347
2.25,0.1,log-uni-long,4,uni-medium,0.0,0.0
0.25,0.1,log-uni-long,4,bimo-light,0.99,0.99
1.0,0.1,uni-moderate,2,bimo-light,0.009999999999999998,0.009999999999999998
1.75,1.0,uni-moderate,2,uni-medium,0.0,0.0
1.5,0.1,log-uni-moderate,2,bimo-medium,0.0,0.0
3.0,0.1,log-uni-moderate,4,exp-heavy,0.0,0.0
4.0,1.0,uni-moderate,4,bimo-medium,0.0,0.0
1.25,0.1,uni-short,4,exp-heavy,0.0,0.0
2.75,1.0,uni-moderate,4,bimo-light,0.0,0.0
0.5,1.0,log-uni-short,2,exp-light,0.7840909090909091,0.7840909090909091
2.25,0.1,log-uni-moderate,4,exp-medium,0.0,0.0
1.25,0.1,log-uni-short,2,uni-medium,0.0,0.0
1.5,0.1,log-uni-short,4,exp-light,0.0,0.0
0.5,1.0,uni-short,4,exp-light,0.7534722222222222,0.7534722222222222
3.75,0.1,log-uni-long,4,bimo-medium,0.0,0.0
1.5,0.1,uni-short,2,uni-heavy,0.0,0.0
0.5,0.1,log-uni-long,2,bimo-heavy,0.98,0.98
1.25,1.0,log-uni-short,4,exp-medium,0.0,0.0
0.75,0.1,uni-short,4,bimo-light,0.5978552278820379,0.5978552278820379
1.25,1.0,log-uni-long,2,exp-medium,0.0,0.0
1.5,1.0,uni-short,2,exp-heavy,0.0,0.0
3.5,0.1,uni-short,4,uni-heavy,0.0,0.0
2.0,1.0,uni-moderate,4,uni-heavy,0.0,0.0
0.75,1.0,uni-short,4,uni-light,0.19591836734693877,0.19591836734693877
0.25,1.0,uni-moderate,2,bimo-medium,1.0,1.0
0.5,1.0,log-uni-long,4,exp-heavy,0.94,0.94
2.0,1.0,uni-moderate,2,bimo-medium,0.0,0.0
0.5,1.0,uni-long,2,uni-heavy,1.0,1.0
3.0,0.1,uni-long,4,exp-medium,0.0,0.0
1.5,0.1,uni-long,4,uni-light,0.0,0.0
3.75,1.0,uni-moderate,4,uni-light,0.0,0.0
2.75,1.0,uni-short,4,bimo-medium,0.0,0.0
1.25,0.1,uni-long,4,exp-light,0.0,0.0
2.0,1.0,log-uni-moderate,4,exp-medium,0.0,0.0
1.75,1.0,uni-moderate,2,bimo-light,0.0,0.0
3.5,1.0,uni-long,4,bimo-light,0.0,0.0
1.0,1.0,uni-moderate,4,uni-medium,0.009999999999999998,0.009999999999999998
0.75,0.1,log-uni-long,4,bimo-medium,0.6960486322188454,0.6960486322188454
0.5,0.1,log-uni-long,4,exp-heavy,0.9313725490196079,0.9313725490196079
1.5,0.1,uni-short,4,bimo-light,0.0,0.0
