sys_util,period,processors,task_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.6,uni-moderate,1,uni-heavy,0.7238095238095237,0.7174603174603176,0.7301587301587307,0.7333333333333335
0.8,log-uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
0.4,uni-long,1,uni-heavy,1.0,1.0,1.0,1.0
0.9,log-uni-long,1,uni-light,0.0,0.0,0.0,0.0
0.30000000000000004,log-uni-moderate,1,exp-light,0.3869209809264307,0.3542234332425069,0.3542234332425069,0.3542234332425069
0.5,log-uni-long,1,bimo-medium,1.0,1.0,1.0,1.0
0.1,uni-short,1,uni-light,0.2159090909090909,0.196969696969697,0.196969696969697,0.196969696969697
0.7000000000000001,uni-short,1,uni-light,0.0,0.0,0.0,0.0
0.2,log-uni-moderate,1,exp-heavy,0.6676136363636365,0.6505681818181818,0.6534090909090906,0.6534090909090906
0.30000000000000004,uni-long,1,exp-light,1.0,1.0,1.0,1.0
0.5,uni-moderate,1,bimo-light,0.7182662538699691,0.7058823529411761,0.7058823529411761,0.7058823529411761
0.7000000000000001,log-uni-moderate,1,exp-light,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.5,uni-moderate,1,uni-medium,0.7822878228782287,0.7749077490774908,0.7749077490774908,0.7749077490774908
0.1,log-uni-long,1,uni-light,1.0,1.0,1.0,1.0
0.2,log-uni-long,1,uni-light,1.0,1.0,1.0,1.0
0.1,uni-long,1,bimo-heavy,1.0,1.0,1.0,1.0
0.7000000000000001,uni-short,1,uni-heavy,0.0,0.0,0.0,0.0
0.6,log-uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
0.30000000000000004,uni-moderate,1,exp-heavy,0.8461538461538461,0.8413461538461537,0.8413461538461537,0.8413461538461537
0.30000000000000004,uni-short,1,bimo-heavy,0.3531073446327683,0.3276836158192091,0.3276836158192091,0.3276836158192091
0.30000000000000004,uni-short,1,bimo-light,0.2848101265822783,0.2753164556962024,0.2753164556962024,0.2753164556962024
0.8,log-uni-long,1,exp-heavy,0.537662337662337,0.6337662337662338,0.6441558441558438,0.6467532467532473
0.5,uni-short,1,uni-heavy,0.11728395061728404,0.09259259259259262,0.09259259259259262,0.09259259259259262
0.9,uni-moderate,1,bimo-heavy,0.0,0.0,0.0,0.0
0.7000000000000001,log-uni-moderate,1,bimo-heavy,0.19557195571955718,0.22140221402214022,0.22509225092250923,0.22509225092250923
0.6,uni-long,1,exp-light,1.0,1.0,1.0,1.0
0.9,log-uni-long,1,exp-heavy,0.016666666666666666,0.07500000000000002,0.08333333333333336,0.08333333333333336
0.7000000000000001,log-uni-moderate,1,uni-light,0.0,0.019999999999999997,0.019999999999999997,0.019999999999999997
0.8,uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.5,log-uni-short,1,uni-heavy,0.039999999999999994,0.009999999999999998,0.009999999999999998,0.009999999999999998
0.30000000000000004,log-uni-short,1,uni-light,0.0,0.0,0.0,0.0
0.1,log-uni-short,1,exp-medium,0.20238095238095238,0.1984126984126984,0.1984126984126984,0.1984126984126984
0.7000000000000001,uni-short,1,exp-medium,0.0,0.0,0.0,0.0
0.4,log-uni-short,1,uni-heavy,0.12352941176470597,0.11176470588235295,0.11176470588235295,0.11176470588235295
0.7000000000000001,uni-short,1,uni-medium,0.0,0.0,0.0,0.0
0.5,uni-moderate,1,uni-light,0.48320413436692505,0.4315245478036177,0.4315245478036177,0.4315245478036177
0.5,uni-moderate,1,bimo-medium,0.6925373134328358,0.6835820895522392,0.6865671641791044,0.68955223880597
0.6,uni-long,1,exp-heavy,1.0,1.0,1.0,1.0
0.7000000000000001,log-uni-long,1,uni-light,0.94,0.97,0.97,0.97
1.0,log-uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.8,uni-moderate,1,exp-light,0.0,0.0,0.0,0.0
0.30000000000000004,log-uni-moderate,1,uni-medium,0.5703125000000001,0.5468749999999997,0.5494791666666669,0.5494791666666669
0.30000000000000004,log-uni-short,1,bimo-heavy,0.15865384615384615,0.1490384615384615,0.1490384615384615,0.1490384615384615
0.7000000000000001,log-uni-long,1,exp-medium,0.8827160493827161,0.9382716049382716,0.9382716049382716,0.9382716049382716
1.0,log-uni-moderate,1,bimo-heavy,0.0,0.0,0.0,0.0
0.30000000000000004,uni-long,1,uni-heavy,1.0,1.0,1.0,1.0
0.1,uni-short,1,uni-medium,0.5684210526315788,0.5684210526315788,0.5684210526315788,0.5684210526315788
0.2,log-uni-moderate,1,uni-light,0.3585434173669466,0.3249299719887954,0.3249299719887954,0.3249299719887954
0.9,uni-moderate,1,uni-light,0.0,0.0,0.0,0.0
0.7000000000000001,uni-short,1,exp-light,0.0,0.0,0.0,0.0
0.5,log-uni-short,1,uni-medium,0.0,0.0,0.0,0.0
0.6,log-uni-long,1,bimo-medium,1.0,1.0,1.0,1.0
0.4,uni-moderate,1,exp-heavy,0.7961538461538461,0.7884615384615384,0.7923076923076923,0.7923076923076923
1.0,uni-short,1,uni-heavy,0.0,0.0,0.0,0.0
0.6,log-uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
0.2,log-uni-long,1,exp-light,1.0,1.0,1.0,1.0
0.9,log-uni-short,1,bimo-light,0.0,0.0,0.0,0.0
